# Format CSV: Miasto,Dzielnica
Warszawa,Mokotów
Warszawa,Ochota
Warszawa,Praga-Południe
Warszawa,Praga-Północ
Warszawa,Ursynów
Warszawa,Wola
Warszawa,Śródmieście
Warszawa,Żoliborz
Kraków,Dębniki
Kraków,Grzegórzki
Kraków,Krowodrza
Kraków,Podgórze
Kraków,Prądnik Biały
Kraków,Prądnik Czerwony
Kraków,Stare Miasto
Łódź,Bałuty
Łódź,Górna
Łódź,Polesie
Łódź,Widzew
Łódź,Śródmieście
Wrocław,Fabryczna
Wrocław,Krzyki
Wrocław,Psie Pole
Wrocław,Stare Miasto
Wrocław,Śródmieście
Poznań,Grunwald
Poznań,Jeżyce
Poznań,Nowe Miasto
Poznań,Stare Miasto
Poznań,Wilda
Gdańsk,Letnica
Szczecin,Gumieńce
Szczecin,Prawobrzeże
Bydgoszcz,Fordon
Lublin,Czuby
Lublin,Węglin Południowy
Białystok,Antoniuk
Białystok,Białostoczek
Białystok,Centrum
Białystok,Leśna Dolina
Białystok,Nowe Miasto
Białystok,Piaski
Białystok,Piasta I
Białystok,Piasta II
Białystok,Przydworcowe
Białystok,Sienkiewicza
Białystok,Wygoda
Gdynia,Chylonia
Gdynia,Działki Leśne
Gdynia,Kamienna Góra
Gdynia,Karwiny
Gdynia,Oksywie
Gdynia,Orłowo
Gdynia,Wielki Kack
Gdynia,Śródmieście
Częstochowa,Częstochówka - Parkitka
Częstochowa,Lisiniec
Częstochowa,Podjasnogórska
Częstochowa,Północ
Częstochowa,Stare Miasto
Częstochowa,Trzech Wieszczów
Częstochowa,Tysiąclecie
Częstochowa,Wrzosowiak
Częstochowa,Wyczerpy - Aniołów
Częstochowa,Śródmieście
Radom,Borki
Radom,Glinice
Radom,Obozisko
Radom,Osiedle Akademickie
Radom,Osiedle XV-lecia
Radom,Planty
Radom,Południe
Radom,Stare Miasto
Radom,Ustronie
Radom,Śródmieście
Radom,Żakowice
Toruń,Bielany
Toruń,Bydgoskie Przedmieście
Toruń,Chełmińskie Przedmieście
Toruń,Grębocin nad Strugą
Toruń,Jakubskie Przedmieście
Toruń,Koniuchy
Toruń,Mokre
Toruń,Rubinkowo
Toruń,Stare Miasto
Toruń,Wrzosy
Bytom,Szombierki
Rybnik,Chwałowice
Rybnik,Maroko-Nowiny
Rybnik,Niedobczyce
Rybnik,Orzepowice
Rybnik,Rybnicka Kuźnia
Rybnik,Rybnik-Północ
Rybnik,Smolna
Rybnik,Zamysłów
Rybnik,Zebrzydowice
Rybnik,Śródmieście
Rybnik,Śródmieście, Rybnik
Ruda Śląska,Halemba
Ruda Śląska,Orzegów
Ruda Śląska,Ruda
Ruda Śląska,Wirek
Elbląg,Zawada
